Post Date,Name,ISIN,FTSE100,FTSE250
18/9/2023,888 Holdings,GI000A0F6407,,1
18/9/2023,Abrdn,GB00BF8Q6K64,-1,1
18/9/2023,Breedon Group,GB00BM8NFJ84,,1
18/9/2023,CAB Payments Holdings,GB00BMCYKB41,,1
18/9/2023,Capita,GB00B23K0M20,,-1
18/9/2023,Ceres Power Holdings,GB00BG5KQW09,,1
18/9/2023,CMC Markets,GB00B14SKR37,,-1
18/9/2023,Dechra Pharmacuticals,GB0009633180,1,-1
18/9/2023,Diploma,GB0001826634,1,-1
18/9/2023,Foresight Group Holdings,GG00BMD8MJ76,,1
18/9/2023,Hikma Pharmaceuticals,GB00B0LCW083,1,-1
18/9/2023,Hiscox,BMG4593F1389,-1,1
18/9/2023,Johnson Matthew,GB00BZ4BQC70,-1,1
18/9/2023,Marks & Spencer Group,GB0031274896,1,-1
18/9/2023,Molten Ventures,GB00BY7QYJ50,,-1
18/9/2023,Moonpig Group,GB00BMT9K014,,1
18/9/2023,Persimmon,GB0006825383,-1,1
18/9/2023,Synthomer,GB00BNTVWJ75,,-1
18/9/2023,Vanquis Banking Group,GB00B1Z4ST84,,-1
18/9/2023,Warehouse REIT,GB00BD2NCM38,,-1
19/6/2023,ASOS,GB0030927254,,-1
19/6/2023,British Land Co,GB0001367019,-1,1
19/6/2023,Capita,GB00B23K0M20,,1
19/6/2023,Capricorn Energy,GB00BRJ7R218,,-1
19/6/2023,Empiric Student Property,GB00BLWDVR75,,1
19/6/2023,Hunting,GB0004478896,,-1
19/6/2023,IMI,GB00BGLP8L22,1,-1
19/6/2023,Me Group International,GB0008481250,,1
19/6/2023,North Atlantic SmallerCos Inv Tst,GB0006439003,,1
19/6/2023,Tullow Oil,GB0001500809,,-1
19/6/2023,Tyman,GB00B29H4253,,1
19/6/2023,Videndum,GB0009296665,,-1
20/3/2023,888 Holdings,GI000A0F6407,,-1
20/3/2023,Ithaca Energy,GB00BPJHV584,,1
20/3/2023,Moonpig Group,GB00BMT9K014,,-1
20/3/2023,Provident Financial,GB00B1Z4ST84,,1
19/12/2022,Abrdn,GB00BF8Q6K64,1,-1
19/12/2022,Beazley,GB00BYQ0JC66,1,-1
19/12/2022,Dechra Pharmaceuticals,GB0009633180,-1,1
19/12/2022,Digital 9 Infrastructure,JE00BMDKH437,,1
19/12/2022,European Small Companies Trust,GB00BMCF8689,,1
19/12/2022,Harbour Energy,GB00BMBVGQ36,-1,1
19/12/2022,Home REIT,GB00BJP5HK17,,-1
19/12/2022,Intermediate Capital Group,GB00BYT1DJ19,-1,1
19/12/2022,Petrofac,GB00B0H2K534,,-1
19/12/2022,Weir Group,GB0009465807,1,-1
19/9/2022,Abrdn,GB00BF8Q6K64,-1,1
19/9/2022,Bluefield Solar Income Fund,GG00BB0RDB98,,1
19/9/2022,Chrysalis Investments,GG00BGJYPP46,,-1
19/9/2022,ConvaTec Group,GB00BD3VFW73,1,-1
19/9/2022,F&C Investment Trust,GB0003466074,1,-1
19/9/2022,Greencore Group,IE0003864109,,-1
19/9/2022,Harbour Energy PLC,GB00BMBVGQ36,1,-1
19/9/2022,Hikma Pharmaceuticals,GB00B0LCW083,-1,1
19/9/2022,Howden Joinery Group,GB0005576813,-1,1
19/9/2022,NextEnergy Solar Fund,GG00BJ0JVY01,,1
19/9/2022,Provident Financial,GB00B1Z4ST84,,-1
19/9/2022,PureTech Health,GB00BY2Z0H74,,1
19/9/2022,Twentyfour Income Fund,GG00B90J5Z95,,1
19/9/2022,Tyman,GB00B29H4253,,-1
19/9/2022,Warehouse REIT,GB00BD2NCM38,,1
19/9/2022,XP Power,SG9999003735,,-1
20/6/2022,ASOS,GB0030927254,,1
20/6/2022,Baillie Gifford US Growth Trust,GB00BDFGHW41,,-1
20/6/2022,Bank of Georgia Group,GB00BF4HYT85,,1
20/6/2022,Centrica,GB00B033F229,1,-1
20/6/2022,ITV,GB0033986497,-1,1
20/6/2022,Merchants Trust,GB0005800072,,1
20/6/2022,Oxford Biomedica,GB00BDFBVT43,,-1
20/6/2022,PureTech Health,GB00BY2Z0H74,,-1
20/6/2022,Rank Group,GB00B1L5QH97,,-1
20/6/2022,Royal Mail,GB00BDVZYZ77,-1,1
20/6/2022,Supermarket Income REIT,GB00BF345X11,,1
20/6/2022,Target Healthcare REIT,GB00BJGTLF51,,1
20/6/2022,Trustpilot Group,GB00BNK9TP58,,-1
20/6/2022,Unite Group,GB0006928617,1,-1
21/3/2022,Baillie Gifford Shin Nippon,GB00BFXYH242,,-1
21/3/2022,Capita,GB00B23K0M20,,-1
21/3/2022,Cineworld Group,GB00B15FWH70,,-1
21/3/2022,Clipper Logistics,GB00BMMV6B79,,1
21/3/2022,Endeavour Mining plc,GB00BL6K5J42,1,-1
21/3/2022,Evraz,GB00B71N6K86,-1,
21/3/2022,Howden Joinery Group,GB0005576813,1,-1
21/3/2022,NB Private Equity Partners,GG00B1ZBD492,,1
21/3/2022,Petropavlovsk,GB0031544546,,-1
21/3/2022,Polymetal International,JE00B6T5S470,-1,
21/3/2022,Reach,GB0009039941,,-1
21/3/2022,Ruffer Investment Company,GB00B018CS46,,1
21/3/2022,Standard Life Private Equity Trusts,GB0030474687,,1
21/3/2022,Temple Bar Inv Tst,GB00BMV92D64,,1
21/3/2022,Tullow Oil,GB0001500809,,1
21/3/2022,Urban Logistics REIT,GB00BYV8MN78,,1
20/12/2021,AO World,GB00BJTNFH41,,-1
20/12/2021,Darktrace,GB00BNYK8G86,-1,1
20/12/2021,Dechra Pharmaceuticals,GB0009633180,1,-1
20/12/2021,Electrocomponents,GB0003096442,1,-1
20/12/2021,Johnson Matthey,GB00BZ4BQC70,-1,1
20/12/2021,Petershill Partners PLC,GB00BL9ZF303,,1
20/12/2021,Provident Financial,GB00B1Z4ST84,,1
20/12/2021,Restaurant Group,GB00B0YG1K06,,-1
20/9/2021,Avon Protection,GB0000667013,,-1
20/9/2021,Baltic Classifieds Group,GB00BN44P254,,1
20/9/2021,Blackrock Throgmorton Trust,GB0008910555,,1
20/9/2021,Bridgepoint Group,GB00BND88V85,,1
20/9/2021,Civtas Social Housing,GB00BD8HBD32,,-1
20/9/2021,Darktrace,GB00BNYK8G86,,1
20/9/2021,Draper Esprit,GB00BY7QYJ50,,1
20/9/2021,Endeavour Mining plc,GB00BL6K5J42,,1
20/9/2021,Just Eat Takeaway.com,NL0012015705,-1,
20/9/2021,Meggitt,GB0005758098,1,-1
20/9/2021,Morrison (Wm) Supermarkets,GB0006043169,1,-1
20/9/2021,Temple Bar Inv Tst,GB00BMV92D64,,-1
20/9/2021,Tullow Oil,GB0001500809,,-1
20/9/2021,Weir Group,GB0009465807,-1,1
20/9/2021,Wickes Group,GB00BL6C2002,,-1
21/6/2021,Auction Technology Group,GB00BMVQDZ64,,1
