trading_date,call_or_put,open_interest,volume
2013-03-01,C,4458724.0,280745.0
2013-03-01,P,7870731.0,559167.0
2013-03-04,C,4325376.0,235395.0
2013-03-04,P,7517321.0,515620.0
2013-03-05,C,4391488.0,617249.0
2013-03-05,P,7692778.0,793697.0
2013-03-06,C,4537258.0,376957.0
2013-03-06,P,7879274.0,462890.0
2013-03-07,C,4644345.0,301332.0
2013-03-07,P,8064056.0,428378.0
2013-03-08,C,4754158.0,421484.0
2013-03-08,P,8287244.0,567653.0
2013-03-11,C,4704816.0,357876.0
2013-03-11,P,8009894.0,507572.0
2013-03-12,C,4781735.0,480605.0
2013-03-12,P,8221128.0,664721.0
2013-03-13,C,4898714.0,346186.0
2013-03-13,P,8451578.0,397383.0
2013-03-14,C,5036453.0,499958.0
2013-03-14,P,8641752.0,545989.0
2013-03-15,C,3300802.0,297706.0
2013-03-15,P,5593858.0,572256.0
2013-03-18,C,3447940.0,237130.0
2013-03-18,P,5855572.0,389644.0
2013-03-19,C,3534732.0,282647.0
2013-03-19,P,6017222.0,556288.0
2013-03-20,C,3622701.0,329469.0
2013-03-20,P,6209905.0,602303.0
2013-03-21,C,3729909.0,321425.0
2013-03-21,P,6489486.0,524743.0
2013-03-22,C,3811093.0,225696.0
2013-03-22,P,6670907.0,441725.0
2013-03-25,C,3723210.0,198476.0
2013-03-25,P,6410681.0,455940.0
2013-03-26,C,3779883.0,230369.0
2013-03-26,P,6580396.0,354998.0
2013-03-27,C,3846014.0,244873.0
2013-03-27,P,6684849.0,303568.0
2013-03-28,C,3944113.0,325759.0
2013-03-28,P,6812486.0,488275.0
2013-04-01,C,3820429.0,189388.0
2013-04-01,P,6455396.0,241378.0
2013-04-02,C,3870876.0,294652.0
2013-04-02,P,6562235.0,381275.0
2013-04-03,C,3968871.0,371722.0
2013-04-03,P,6671364.0,513230.0
2013-04-04,C,4022460.0,262098.0
2013-04-04,P,6847439.0,375268.0
2013-04-05,C,4108732.0,387107.0
2013-04-05,P,6985176.0,497606.0
2013-04-08,C,4030078.0,230812.0
2013-04-08,P,6792332.0,250579.0
2013-04-09,C,4114682.0,335356.0
2013-04-09,P,6886509.0,371366.0
2013-04-10,C,4239945.0,601305.0
2013-04-10,P,7035308.0,609307.0
2013-04-11,C,4404603.0,569942.0
2013-04-11,P,7228684.0,614517.0
2013-04-12,C,4540152.0,381121.0
2013-04-12,P,7417741.0,539069.0
2013-04-15,C,4426832.0,376410.0
2013-04-15,P,7236186.0,716556.0
2013-04-16,C,4520337.0,291257.0
2013-04-16,P,7510311.0,382713.0
2013-04-17,C,4573380.0,431156.0
2013-04-17,P,7606647.0,871324.0
2013-04-18,C,4680853.0,553424.0
2013-04-18,P,7889620.0,792472.0
2013-04-19,C,3759735.0,314527.0
2013-04-19,P,6099517.0,483447.0
2013-04-22,C,3899674.0,204424.0
2013-04-22,P,6311111.0,353209.0
2013-04-23,C,3980840.0,362758.0
2013-04-23,P,6487109.0,468528.0
2013-04-24,C,4094759.0,270831.0
2013-04-24,P,6631218.0,352935.0
2013-04-25,C,4153688.0,251545.0
2013-04-25,P,6741182.0,361735.0
2013-04-26,C,4214796.0,271235.0
2013-04-26,P,6882463.0,416497.0
2013-04-29,C,4126187.0,189288.0
2013-04-29,P,6624179.0,317232.0
2013-04-30,C,4170663.0,183399.0
2013-04-30,P,6745623.0,304982.0
2013-05-01,C,4234947.0,266133.0
2013-05-01,P,6883931.0,414478.0
2013-05-02,C,4288211.0,306464.0
2013-05-02,P,7041553.0,514025.0
2013-05-03,C,4382889.0,739387.0
2013-05-03,P,7195864.0,745784.0
2013-05-06,C,4408592.0,386298.0
2013-05-06,P,7084534.0,400965.0
2013-05-07,C,4508925.0,411634.0
2013-05-07,P,7219492.0,478332.0
2013-05-08,C,4592809.0,495794.0
2013-05-08,P,7406834.0,525297.0
2013-05-09,C,4750615.0,457623.0
2013-05-09,P,7579229.0,579500.0
2013-05-10,C,4846889.0,325387.0
2013-05-10,P,7820893.0,526026.0
2013-05-13,C,4770750.0,279449.0
2013-05-13,P,7640263.0,349061.0
2013-05-14,C,4857166.0,696834.0
2013-05-14,P,7839051.0,747338.0
2013-05-15,C,5019295.0,723228.0
2013-05-15,P,8132979.0,623485.0
2013-05-16,C,5203221.0,415677.0
2013-05-16,P,8400198.0,645654.0
2013-05-17,C,4390621.0,425817.0
2013-05-17,P,6885873.0,608728.0
2013-05-20,C,4561391.0,284903.0
2013-05-20,P,7174373.0,416825.0
2013-05-21,C,4652168.0,302107.0
2013-05-21,P,7363731.0,493460.0
2013-05-22,C,4737976.0,621603.0
2013-05-22,P,7561491.0,825720.0
2013-05-23,C,4912497.0,356478.0
2013-05-23,P,7867306.0,538850.0
2013-05-24,C,5044962.0,242561.0
2013-05-24,P,8011774.0,517966.0
2013-05-28,C,4899713.0,215898.0
2013-05-28,P,7722072.0,345670.0
2013-05-29,C,4960783.0,283397.0
2013-05-29,P,7865328.0,383910.0
2013-05-30,C,5052508.0,209098.0
2013-05-30,P,8029215.0,391266.0
2013-05-31,C,5117556.0,340128.0
2013-05-31,P,8188470.0,623616.0
2013-06-03,C,5038594.0,380664.0
2013-06-03,P,8061556.0,452387.0
2013-06-04,C,5161697.0,224691.0
2013-06-04,P,8224173.0,403246.0
2013-06-05,C,5217142.0,515482.0
