trading_date,open_price,high_price,low_price,close_price
2013-03-01,1514.68,1519.99,1501.48,1518.2
2013-03-04,1518.2,1525.27,1512.29,1525.2
2013-03-05,1525.2,1543.47,1525.2,1539.79
2013-03-06,1539.79,1545.25,1538.11,1541.46
2013-03-07,1541.46,1545.78,1541.46,1544.26
2013-03-08,1544.26,1552.48,1542.94,1551.18
2013-03-11,1551.15,1556.27,1547.36,1556.22
2013-03-12,1556.22,1556.77,1548.24,1552.48
2013-03-13,1552.48,1556.39,1548.25,1554.52
2013-03-14,1554.52,1563.32,1554.52,1563.23
2013-03-15,1563.21,1563.62,1555.74,1560.7
2013-03-18,1560.7,1560.7,1545.13,1552.1
2013-03-19,1552.1,1557.25,1538.57,1548.34
2013-03-20,1548.34,1561.56,1548.34,1558.71
2013-03-21,1558.71,1558.71,1543.55,1545.8
2013-03-22,1545.9,1557.74,1545.9,1556.89
2013-03-25,1556.89,1564.91,1546.22,1551.69
2013-03-26,1551.69,1563.95,1551.69,1563.77
2013-03-27,1563.75,1564.07,1551.9,1562.85
2013-03-28,1562.86,1570.28,1561.08,1569.19
2013-04-01,1569.18,1570.57,1558.47,1562.17
2013-04-02,1562.17,1573.66,1562.17,1570.25
2013-04-03,1570.25,1571.47,1549.8,1553.69
2013-04-04,1553.69,1562.6,1552.52,1559.98
2013-04-05,1559.98,1559.98,1539.5,1553.28
2013-04-08,1553.26,1563.07,1548.63,1563.07
2013-04-09,1563.11,1573.89,1560.92,1568.61
2013-04-10,1568.61,1589.07,1568.61,1587.73
2013-04-11,1587.73,1597.35,1586.17,1593.37
2013-04-12,1593.3,1593.3,1579.97,1588.85
2013-04-15,1588.84,1588.84,1552.28,1552.36
2013-04-16,1552.36,1575.35,1552.36,1574.57
2013-04-17,1574.57,1574.57,1543.69,1552.01
2013-04-18,1552.03,1554.38,1536.03,1541.61
2013-04-19,1541.61,1555.89,1539.4,1555.25
2013-04-22,1555.25,1565.55,1548.19,1562.5
2013-04-23,1562.5,1579.58,1562.5,1578.78
2013-04-24,1578.78,1583.0,1575.8,1578.79
2013-04-25,1578.93,1592.64,1578.93,1585.16
2013-04-26,1585.16,1585.78,1577.56,1582.24
2013-04-29,1582.34,1596.65,1582.34,1593.61
2013-04-30,1593.58,1597.57,1586.5,1597.57
2013-05-01,1597.55,1597.55,1581.28,1582.7
2013-05-02,1582.77,1598.6,1582.77,1597.59
2013-05-03,1597.6,1618.46,1597.6,1614.42
2013-05-06,1614.4,1619.77,1614.21,1617.5
2013-05-07,1617.55,1626.03,1616.64,1625.96
2013-05-08,1625.95,1632.78,1622.7,1632.69
2013-05-09,1632.69,1635.01,1623.09,1626.67
2013-05-10,1626.69,1633.7,1623.71,1633.7
2013-05-13,1632.1,1636.0,1626.74,1633.77
2013-05-14,1633.75,1651.1,1633.75,1650.34
2013-05-15,1649.13,1661.49,1646.68,1658.78
2013-05-16,1658.07,1660.51,1648.6,1650.47
2013-05-17,1652.45,1667.47,1652.45,1667.47
2013-05-20,1665.71,1672.84,1663.52,1666.29
2013-05-21,1666.2,1674.93,1662.67,1669.16
2013-05-22,1669.39,1687.18,1648.86,1655.35
2013-05-23,1651.62,1655.5,1635.53,1650.51
2013-05-24,1646.67,1649.78,1636.88,1649.6
2013-05-28,1652.63,1674.21,1652.63,1660.06
2013-05-29,1656.57,1656.57,1640.05,1648.36
2013-05-30,1649.14,1661.91,1648.61,1654.41
2013-05-31,1652.13,1658.99,1630.74,1630.74
