Name,SEDOL,ISIN,FTSE100,FTSE250,post_date,pre_five_pd,pre_three_pd,pre_one_pd,post_three_pd,post_five_pd,post_ten_pd,post_twenty_pd,diff_five_three,diff_five_five,diff_five_ten,diff_five_twenty,diff_three_three,diff_three_five,diff_three_ten,diff_three_twenty,diff_one_three,diff_one_five,diff_one_ten,diff_one_twenty
ASOS PLC,3092725,GB0030927254,,1.0,2022-06-20,12.09,11.6,8.835,8.875,8.765,8.9099976,10.149998,-3.215,-3.3249999999999993,-3.1800023999999993,-1.9400019999999998,-2.7249999999999996,-2.834999999999999,-2.690002399999999,-1.4500019999999996,0.03999999999999915,-0.07000000000000028,0.07499759999999966,1.3149979999999992
Bank of Georgia Group PLC,BF4HYT8,GB00BF4HYT85,,1.0,2022-06-20,15.3,15.039998,14.76,14.319998,14.52,13.5,14.119998,-0.9800020000000007,-0.7800000000000011,-1.8000000000000007,-1.180002,-0.7200000000000006,-0.5199980000000011,-1.5399980000000006,-0.9199999999999999,-0.4400019999999998,-0.2400000000000002,-1.2599999999999998,-0.6400019999999991
Centrica PLC,B033F22,GB00B033F229,1.0,-1.0,2022-06-20,0.77979996,0.7893998799999999,0.77439988,0.8285998600000001,0.8219999699999999,0.81839997,0.88599991,0.04879990000000012,0.042200009999999955,0.03860001000000002,0.10619995000000004,0.039199980000000134,0.03260008999999997,0.029000090000000034,0.09660003000000006,0.054199980000000036,0.04760008999999987,0.044000089999999936,0.11160002999999996
International Distributions Services PLC,BDVZYZ7,GB00BDVZYZ77,-1.0,1.0,2022-06-20,2.7319996,2.8199975999999998,2.72,2.7859985999999997,2.8089991,2.6779981,2.7709986,0.053998999999999686,0.07699949999999989,-0.054001500000000036,0.038999000000000006,-0.03399900000000011,-0.010998499999999911,-0.14199949999999983,-0.04899899999999979,0.06599859999999946,0.08899909999999966,-0.04200190000000026,0.05099859999999978
ITV PLC,3398649,GB0033986497,-1.0,1.0,2022-06-20,0.6737999000000001,0.7001999000000001,0.6539999400000001,0.67199997,0.6775999500000001,0.6539999400000001,0.65799988,-0.0017999300000001162,0.0038000499999999438,-0.01979996000000006,-0.015800020000000137,-0.028199930000000095,-0.022599950000000035,-0.04619996000000004,-0.042200020000000116,0.018000029999999945,0.023600010000000005,0.0,0.003999939999999924
JLEN Environmental Assets Group Ltd Foresight Group Holdings,BJL5FH8,GG00BJL5FH87,,1.0,2022-06-20,1.2180004,1.2139997,1.2200002,1.1960001,1.2080002,1.2320003,1.2080002,-0.022000299999999973,-0.010000199999999904,0.013999899999999954,-0.010000199999999904,-0.017999600000000004,-0.0059994999999999354,0.018000599999999922,-0.0059994999999999354,-0.02400010000000008,-0.01200000000000001,0.012000099999999847,-0.01200000000000001
Merchants Trust PLC/The,0580007,GB0005800072,,1.0,2022-06-20,5.439997600000001,5.6,5.399997600000001,5.229997600000001,5.5,5.47,5.439997600000001,-0.20999999999999996,0.060002399999999234,0.030002399999998985,0.0,-0.37000239999999884,-0.09999999999999964,-0.1299999999999999,-0.16000239999999888,-0.16999999999999993,0.10000239999999927,0.07000239999999902,0.040000000000000036
Oxford Biomedica PLC,BDFBVT4,GB00BDFBVT43,,-1.0,2022-06-20,4.51,4.395,4.1499976,4.8299976,4.76,4.5,4.5,0.31999759999999977,0.25,-0.009999999999999787,-0.009999999999999787,0.4349976,0.3650000000000002,0.10500000000000043,0.10500000000000043,0.6799999999999997,0.6100024,0.35000240000000016,0.35000240000000016
PureTech Health PLC,BY2Z0H7,GB00BY2Z0H74,,-1.0,2022-06-20,1.6499996,1.5579996,1.4759997999999999,1.5860004,1.7060003000000001,1.7799996999999999,1.8079996,-0.06399919999999981,0.056000700000000236,0.13000009999999995,0.15800000000000014,0.028000800000000048,0.1480007000000001,0.2220000999999998,0.25,0.11000060000000023,0.23000050000000027,0.3039999,0.3319998000000002
Rank Group PLC,B1L5QH9,GB00B1L5QH97,,-1.0,2022-06-20,0.995,1.0279999,0.99199997,0.8239999400000001,0.8459999100000001,0.85299988,0.88799988,-0.1710000599999999,-0.14900008999999992,-0.14200011999999995,-0.10700012000000003,-0.20399995999999987,-0.1819999899999999,-0.17500001999999992,-0.14000002,-0.16800002999999986,-0.14600005999999988,-0.1390000899999999,-0.10400008999999999
Supermarket Income Reit PLC,BF345X1,GB00BF345X11,,1.0,2022-06-20,1.2849998999999999,1.3050004000000002,1.3000002000000002,1.2700005,1.3000002000000002,1.1800004,1.2399997,-0.014999399999999774,0.0150003000000003,-0.10499949999999991,-0.045000199999999824,-0.034999900000000084,-0.00500020000000001,-0.12500000000000022,-0.06500070000000013,-0.029999700000000074,0.0,-0.11999980000000021,-0.06000050000000012
Target Healthcare REIT PLC,BJGTLF5,GB00BJGTLF51,,1.0,2022-06-20,1.1260004000000001,1.1320000000000001,1.1359997,1.1040001,1.1260004000000001,1.0819997,1.1339998,-0.022000300000000195,0.0,-0.044000700000000226,0.007999399999999879,-0.02799990000000019,-0.005999599999999994,-0.05000030000000022,0.001999799999999885,-0.03199960000000002,-0.009999299999999822,-0.05400000000000005,-0.0019998999999999434
Trustpilot Group PLC,BNK9TP5,GB00BNK9TP58,,-1.0,2022-06-20,0.8125,0.86049988,0.94049988,1.0340004,1.0500002000000002,0.98899994,0.74049988,0.22150040000000004,0.23750020000000016,0.17649994000000002,-0.07200012,0.17350052000000005,0.18950032000000017,0.12850006000000003,-0.12,0.09350052000000009,0.1095003200000002,0.04850006000000007,-0.19999999999999996
Baillie Gifford US Growth Trust PLC,BDFGHW4,GB00BDFGHW41,,-1.0,2022-06-20,1.5200004999999999,1.6000004,1.4860001,1.5299996999999999,1.6040001000000002,1.526,1.6260004000000001,0.009999199999999986,0.08399960000000029,0.0059995000000001575,0.10599990000000026,-0.07000070000000025,0.0039997000000000504,-0.07400040000000008,0.026000000000000023,0.043999599999999806,0.1180000000000001,0.03999989999999998,0.14000030000000008
UNITE Group PLC/The,0692861,GB0006928617,1.0,-1.0,2022-06-20,10.439998000000001,10.939998000000001,10.88,10.68,11.069998,10.46,11.46,0.24000199999999872,0.629999999999999,0.020001999999999853,1.0200019999999999,-0.2599980000000013,0.129999999999999,-0.47999800000000015,0.5200019999999999,-0.20000000000000107,0.18999799999999922,-0.41999999999999993,0.5800000000000001
abrdn plc,BF8Q6K6,GB00BF8Q6K64,-1.0,1.0,2022-09-20,1.5480004,1.4230004,1.4414997,1.3745003,1.3514994999999999,1.4355000999999998,1.4184999999999999,-0.17350010000000005,-0.1965009000000002,-0.11250030000000022,-0.12950040000000018,-0.048500100000000046,-0.0715009000000002,0.01249969999999978,-0.004500400000000182,-0.06699940000000004,-0.0900002000000002,-0.005999600000000216,-0.02299970000000018
Bluefield Solar Income Fund Ltd,BB0RDB9,GG00BB0RDB98,,1.0,2022-09-20,1.3850002000000001,1.4149999,1.4449996999999999,1.3900004000000001,1.21,1.3900004000000001,1.2600002000000001,0.00500020000000001,-0.17500020000000016,0.00500020000000001,-0.125,-0.02499949999999984,-0.2049999,-0.02499949999999984,-0.15499969999999985,-0.05499929999999975,-0.23499969999999992,-0.05499929999999975,-0.18499949999999976
Chrysalis Investments Ltd,BGJYPP4,GG00BGJYPP46,,-1.0,2022-09-20,0.71299988,0.6589999400000001,0.63099991,0.6369999700000001,0.58699997,0.59399994,0.59799988,-0.07599990999999995,-0.12599991,-0.11899994000000003,-0.11499999999999999,-0.02199996999999998,-0.07199997000000002,-0.06500000000000006,-0.06100006000000002,0.006000060000000085,-0.04399993999999996,-0.03699996999999999,-0.03300002999999996
ConvaTec Group PLC,BD3VFW7,GB00BD3VFW73,1.0,-1.0,2022-09-20,2.3179998,2.2779999,2.2379999,2.1020002,2.0140000000000002,2.0939998,2.1499995999999997,-0.21599959999999996,-0.3039997999999997,-0.22399999999999975,-0.16800020000000027,-0.1759997000000002,-0.26399989999999995,-0.1840001,-0.1280003000000005,-0.13599970000000017,-0.22399989999999992,-0.14400009999999996,-0.08800030000000048
F&C Investment Trust PLC,0346607,GB0003466074,1.0,-1.0,2022-09-20,8.9099976,8.5699976,8.9399976,8.9399976,9.14,9.1499976,8.71,0.02999999999999936,0.23000240000000005,0.2400000000000002,-0.19999759999999966,0.3699999999999992,0.5700023999999999,0.5800000000000001,0.1400024000000002,0.0,0.2000024000000007,0.21000000000000085,-0.22999759999999903
Frasers Group PLC,B1QH8P2,GB00B1QH8P22,1.0,-1.0,2022-09-20,8.56,7.9949976000000005,7.859997600000001,7.4099976000000005,7.0749976000000006,6.885,6.5349976000000005,-1.1500024,-1.4850024,-1.6750000000000007,-2.0250024,-0.585,-0.9199999999999999,-1.1099976000000007,-1.46,-0.4500000000000002,-0.7850000000000001,-0.9749976000000009,-1.3250000000000002
Greencore Group PLC,0386410,IE0003864109,,-1.0,2022-09-20,0.8994999699999999,0.8864999400000001,0.8224998499999999,0.77199997,0.7414999400000001,0.7599998499999999,0.70549988,-0.12749999999999995,-0.15800002999999985,-0.13950012,-0.19400008999999996,-0.11449997000000012,-0.14500000000000002,-0.12650009000000018,-0.18100006000000013,-0.05049987999999994,-0.08099990999999984,-0.0625,-0.11699996999999995
