Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - GBP,Flow
1/2/12,"5,790.72",,,"5,681.61","5,680.67","5,790.72","985,247,019","379,738.00",0.00
2/2/12,"5,796.07",+5.35,+0.09%,"5,790.72","5,765.72","5,809.82","967,388,509","473,806.00","473,806.00"
3/2/12,"5,901.07",+105.00,+1.81%,"5,796.07","5,784.23","5,901.07","1,156,774,184","413,725.00","887,531.00"
6/2/12,"5,892.20",-8.87,-0.15%,"5,901.07","5,863.55","5,901.07","828,464,520","302,457.00","585,074.00"
7/2/12,"5,890.26",-1.94,-0.03%,"5,892.20","5,850.49","5,906.65","785,340,692","354,319.00","230,755.00"
8/2/12,"5,875.93",-14.33,-0.24%,"5,890.26","5,871.33","5,916.20","809,267,718","341,679.00","-110,924.00"
9/2/12,"5,895.47",+19.54,+0.33%,"5,875.93","5,870.55","5,916.31","973,462,188","365,887.00","254,963.00"
10/2/12,"5,852.39",-43.08,-0.73%,"5,895.47","5,839.85","5,895.47","948,790,239","359,395.00","-104,432.00"
13/2/12,"5,905.70",+53.31,+0.91%,"5,852.39","5,852.39","5,920.09","641,643,014","259,469.00","155,037.00"
14/2/12,"5,899.87",-5.83,-0.10%,"5,905.70","5,877.21","5,920.61","832,567,167","326,272.00","-171,235.00"
15/2/12,"5,892.16",-7.71,-0.13%,"5,899.87","5,880.62","5,923.78","801,550,108","314,185.00","-485,420.00"
16/2/12,"5,885.38",-6.78,-0.12%,"5,892.16","5,829.38","5,892.36","751,180,379","324,250.00","-809,670.00"
17/2/12,"5,905.07",+19.69,+0.33%,"5,885.38","5,885.38","5,923.62","1,101,910,955","405,068.00","-404,602.00"
20/2/12,"5,945.25",+40.18,+0.68%,"5,905.07","5,905.07","5,956.33","723,669,610","270,963.00","-133,639.00"
21/2/12,"5,928.20",-17.05,-0.29%,"5,945.25","5,916.58","5,948.84","846,269,111","326,004.00","-459,643.00"
22/2/12,"5,916.55",-11.65,-0.20%,"5,928.20","5,894.60","5,937.96","872,088,943","327,016.00","-786,659.00"
23/2/12,"5,937.89",+21.34,+0.36%,"5,916.55","5,900.50","5,952.47","1,071,356,849","340,406.00","-446,253.00"
24/2/12,"5,935.13",-2.76,-0.05%,"5,937.89","5,925.47","5,964.02","1,010,948,381","339,972.00","-786,225.00"
27/2/12,"5,915.55",-19.58,-0.33%,"5,935.13","5,865.85","5,935.13","966,771,003","372,204.00","-1,158,429.00"
28/2/12,"5,927.91",+12.36,+0.21%,"5,915.55","5,899.99","5,937.02","804,670,248","324,989.00","-833,440.00"
29/2/12,"5,871.51",-56.40,-0.95%,"5,927.91","5,871.51","5,944.75","1,201,160,999","493,473.00","-1,326,913.00"
1/3/12,"5,931.25",+59.74,+1.02%,"5,871.51","5,858.85","5,936.07","900,749,821","340,438.00","-986,475.00"
2/3/12,"5,911.13",-20.12,-0.34%,"5,931.25","5,908.48","5,939.97","736,456,436","278,025.00","-1,264,500.00"
5/3/12,"5,874.82",-36.31,-0.61%,"5,911.13","5,865.38","5,911.13","873,447,179","345,043.00","-1,609,543.00"
6/3/12,"5,765.80",-109.02,-1.86%,"5,874.82","5,758.42","5,874.82","989,886,505","407,535.00","-2,017,078.00"
7/3/12,"5,791.41",+25.61,+0.44%,"5,765.80","5,755.69","5,801.12","859,927,984","328,688.00","-1,688,390.00"
8/3/12,"5,859.73",+68.32,+1.18%,"5,791.41","5,791.41","5,874.34","828,107,652","328,244.00","-1,360,146.00"
9/3/12,"5,887.49",+27.76,+0.47%,"5,859.73","5,842.94","5,897.60","854,778,893","322,793.00","-1,037,353.00"
12/3/12,"5,892.75",+5.26,+0.09%,"5,887.49","5,860.42","5,894.07","800,491,998","312,042.00","-725,311.00"
13/3/12,"5,955.91",+63.16,+1.07%,"5,892.75","5,892.75","5,957.94","761,933,772","321,758.00","-403,553.00"
14/3/12,"5,945.43",-10.48,-0.18%,"5,955.91","5,945.43","5,989.07","1,165,017,936","440,346.00","-843,899.00"
15/3/12,"5,940.72",-4.71,-0.08%,"5,945.43","5,919.21","5,958.17","1,034,944,338","377,245.00","-1,221,144.00"
16/3/12,"5,965.58",+24.86,+0.42%,"5,940.72","5,940.72","5,974.05","1,830,036,132","683,176.00","-537,968.00"
19/3/12,"5,961.11",-4.47,-0.07%,"5,965.58","5,928.45","5,968.89","951,065,283","311,904.00","-849,872.00"
20/3/12,"5,891.41",-69.70,-1.17%,"5,961.11","5,876.42","5,961.11","978,545,226","391,826.00","-1,241,698.00"
21/3/12,"5,891.95",+0.54,+0.01%,"5,891.41","5,880.79","5,921.68","907,211,256","349,563.00","-892,135.00"
22/3/12,"5,845.65",-46.30,-0.79%,"5,891.95","5,825.91","5,891.95","883,155,666","366,206.00","-1,258,341.00"
23/3/12,"5,854.89",+9.24,+0.16%,"5,845.65","5,801.72","5,875.73","848,516,877","354,658.00","-903,683.00"
26/3/12,"5,902.70",+47.81,+0.82%,"5,854.89","5,854.47","5,913.06","722,858,543","328,591.00","-575,092.00"
27/3/12,"5,869.55",-33.15,-0.56%,"5,902.70","5,863.83","5,941.90","1,257,297,302","379,325.00","-954,417.00"
28/3/12,"5,808.99",-60.56,-1.03%,"5,869.55","5,808.99","5,877.94","931,498,346","371,063.00","-1,325,480.00"
29/3/12,"5,742.03",-66.96,-1.15%,"5,808.99","5,726.50","5,812.17","1,084,172,020","440,865.00","-1,766,345.00"
30/3/12,"5,768.45",+26.42,+0.46%,"5,742.03","5,742.03","5,782.71","990,169,973","461,618.00","-1,304,727.00"
2/4/12,"5,874.89",+106.44,+1.85%,"5,768.45","5,748.63","5,874.89","886,248,600","388,756.00","-915,971.00"
3/4/12,"5,838.34",-36.55,-0.62%,"5,874.89","5,838.34","5,890.16","896,434,000","344,481.00","-1,260,452.00"
4/4/12,"5,703.77",-134.57,-2.30%,"5,838.34","5,685.65","5,838.34","1,174,203,027","478,240.00","-1,738,692.00"
5/4/12,"5,723.67",+19.90,+0.35%,"5,703.77","5,663.32","5,731.67","905,681,954","361,077.00","-1,377,615.00"
10/4/12,"5,595.55",-128.12,-2.24%,"5,723.67","5,595.55","5,723.67","1,008,933,669","386,791.00","-1,764,406.00"
11/4/12,"5,634.74",+39.19,+0.70%,"5,595.55","5,576.37","5,655.87","1,132,327,600","445,432.00","-1,318,974.00"
12/4/12,"5,710.46",+75.72,+1.34%,"5,634.74","5,602.56","5,727.87","1,115,209,975","451,378.00","-867,596.00"
13/4/12,"5,651.79",-58.67,-1.03%,"5,710.46","5,643.51","5,710.82","830,222,989","343,351.00","-1,210,947.00"
16/4/12,"5,666.28",+14.49,+0.26%,"5,651.79","5,641.07","5,707.96","1,101,926,554","370,566.00","-840,381.00"
17/4/12,"5,766.95",+100.67,+1.78%,"5,666.28","5,651.53","5,773.73","856,432,975","369,579.00","-470,802.00"
18/4/12,"5,745.29",-21.66,-0.38%,"5,766.95","5,730.91","5,783.88","873,962,591","362,403.00","-833,205.00"
19/4/12,"5,744.55",-0.74,-0.01%,"5,745.29","5,738.11","5,792.07","958,392,092","376,533.00","-1,209,738.00"
20/4/12,"5,772.15",+27.60,+0.48%,"5,744.55","5,724.20","5,775.67","847,833,753","352,086.00","-857,652.00"
23/4/12,"5,665.57",-106.58,-1.85%,"5,772.15","5,637.73","5,772.15","777,185,486","324,905.00","-1,182,557.00"
