trade_date,security_code,security_name,primary_exchange,refinitiv_code,isin_code,currency,open,high,low,close,volume
9/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.066,1.1359997,1.0629998,1.1169996,358252
10/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.1400004,1.1400004,1.0909997,1.1199999,284950
11/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.1000004,1.3310003,1.0979996,1.1499996,1003896
14/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.1470003,1.1599999,1.0881081,1.0959997,1088784
15/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.1000004,1.1260004,1.0010004,1.1140003,1127118
16/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.0559998,1.1800004,1.0559998,1.1599999,953811
17/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.1549997,1.2049999,1.1009998,1.1829996,2068488
18/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2370005,1.2370005,1.1210003,1.1599999,1682830
21/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.1490001,1.1783381,1.1354609,1.1639995,892556
22/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.1610003,1.2299996,1.1610003,1.2299996,1207394
23/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2299996,1.2650004,1.2069997,1.25,1389891
24/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.3000002,1.3140001,1.2449999,1.262,2307415
25/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2659998,1.2670002,1.2189998,1.2440004,923369
29/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2349996,1.2820492,1.2349996,1.2600002,1530221
30/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2749996,1.2749996,1.2180004,1.2440004,1100072
31/8/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2600002,1.3389997,1.255,1.276,3671045
1/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.3000002,1.3000002,1.2530002,1.2530002,982490
4/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2530002,1.3210001,1.2358655,1.3009997,882533
5/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2700005,1.3253316,1.2110004,1.2880001,2294918
6/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.25,1.2799997,1.2299996,1.2519999,1321821
7/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.1929998,1.2650004,1.1929998,1.255,517974
8/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2469997,1.3030004,1.2080002,1.2810001,832801
11/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2840004,1.3100004,1.2729998,1.2729998,374330
12/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.264,1.2790003,1.231,1.2629995,790706
13/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2320003,1.2650004,1.231,1.2410001,503569
14/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.2320003,1.2609997,1.2254696,1.2519999,709522
15/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.3000002,1.3000002,1.2259998,1.2469997,6745813
18/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.3000002,1.3000002,1.1999997,1.1999997,570071
19/9/2023,18982,888 HOLDINGS,LON,26862,GI000A0F6407,GBP,1.1780004,1.217,1.1499996,1.1499996,1031500
