security_code,security_name,primary_exchange,refinitiv_code,isin_code,value_date,consolidated_market_value,consolidated_shares_outstanding,free_float,free_float_market_value
406.0,CARNIVAL,LON,10585.0,GB0031215220,2023-02-01,11372860000.0,1259450000.0,0.92,10463031200.0
52717.0,ENDEAVOUR MINING,TSE,61819.0,GB00BL6K5J42,2023-02-01,7891488000.0,246609000.0,0.81,6392105280.0
43251.0,BARRATT DEVELOPMENTS,LON,46250.0,GB0000811801,2023-02-01,4619656000.0,996260000.0,0.94,4342476640.0
14493.0,JOHNSON MATTHEY,LON,45999.0,GB00BZ4BQC70,2023-02-01,4213921999.9999995,183453000.0,1.0,4213921999.9999995
1827.0,TAYLOR WIMPEY,LON,45921.0,GB0008782301,2023-02-01,4188934000.0,3531984000.0,1.0,4188934000.0
19197.0,INTERMEDIATE CAPITAL GP.,LON,862.0,GB00BYT1DJ19,2023-02-01,4069188000.0,290552000.0,1.0,4069188000.0
7114.0,HOWDEN JOINERY GP.,LON,35629.0,GB0005576813,2023-02-01,3863074000.0,555678000.0,1.0,3863074000.0
14022.0,IMI,LON,46066.0,GB00BGLP8L22,2023-02-01,3789518000.0,260807000.0,1.0,3789518000.0
28358.0,INCHCAPE,LON,45984.0,GB00B61TVQ02,2023-02-01,3787276000.0,413007000.0,1.0,3787276000.0
42750.0,INVESTEC,LON,9486.0,GB00B17BBQ50,2023-02-01,5204703000.0,992599000.0,0.69,3591245069.9999995
23042.0,ABRDN,LON,31747.0,GB00BF8Q6K64,2023-02-01,4165938000.0,2001892000.0,0.84,3499387920.0
3251.0,HISCOX DI,LON,30485.0,BMG4593F1389,2023-02-01,3860523000.0,346546000.0,0.83,3204234090.0
56452.0,HARGREAVES LANSDOWN,LON,74610.0,GB00B1VZ0M25,2023-02-01,4185386999.9999995,474319000.0,0.75,3139040249.9999995
41144.0,MAN GROUP,LON,1116.0,JE00BJ1DLW90,2023-02-01,3116598000.0,1248136000.0,1.0,3116598000.0
30732.0,IG GROUP HOLDINGS,LON,23757.0,GB00B06QFB75,2023-02-01,3314231000.0,415317000.0,0.94,3115377140.0
29773.0,EASYJET,LON,14530.0,GB00B7KR2P84,2023-02-01,3661188000.0,758010000.0,0.85,3112009800.0
36989.0,BRITISH LAND,LON,46055.0,GB0001367019,2023-02-01,4140125000.0,927033000.0,0.75,3105093750.0
27550.0,SPECTRIS,LON,48543.0,GB0003308607,2023-02-01,3368782000.0,104556000.0,0.92,3099279440.0
47433.0,TATE & LYLE,LON,45965.0,GB00BP92CJ43,2023-02-01,3022509000.0,401609000.0,1.0,3022509000.0
51117.0,DECHRA PHARMACEUTICALS,LON,10397.0,GB0009633180,2023-02-01,3305990000.0,113843000.0,0.91,3008450900.0
50258.0,ITV,LON,47380.0,GB0033986497,2023-02-01,3327403000.0,4025408000.0,0.9,2994662700.0
18213.0,MARKS & SPENCER GROUP,LON,46009.0,GB0031274896,2023-02-01,2949251000.0,1964856000.0,1.0,2949251000.0
5044.0,UNITE GROUP,LON,39813.0,GB0006928617,2023-02-01,3990884000.0,400289000.0,0.71,2833527640.0
39204.0,GAMES WORKSHOP,LON,1145.0,GB0003718474,2023-02-01,3041143000.0,32913000.0,0.9,2737028700.0
204281.0,TRITAX BIG BOX REIT,LON,269976.0,GB00BG49KP99,2023-02-01,2919108000.0,1868829000.0,0.92,2685579360.0
42200.0,ROTORK,LON,46323.0,GB00BVFNZH21,2023-02-01,2771837000.0,860819000.0,0.95,2633245150.0
33157.0,DIPLOMA,LON,46297.0,GB0001826634,2023-02-01,3391283000.0,124680000.0,0.77,2611287910.0
5446.0,HIKMA PHARMACEUTICALS,LON,27926.0,GB00B0LCW083,2023-02-01,3727948000.0,220263000.0,0.67,2497725160.0
20869.0,GREGGS,LON,48531.0,GB00B63QSB39,2023-02-01,2757250000.0,102120000.0,0.89,2453952500.0
8872.0,VISTRY GROUP,LON,36175.0,GB0001859296,2023-02-01,2598038000.0,345714000.0,0.94,2442155720.0
44295.0,TUI N,XET,46904.0,DE000TUAG505,2023-02-01,3497219000.0,1785206000.0,0.69,2413081110.0
7893.0,DERWENT LONDON,LON,46833.0,GB0002652740,2023-02-01,2912820000.0,112291000.0,0.76,2213743200.0
202624.0,MEDICLINIC INTERNATIONAL,LON,267405.0,GB00B8HX8Z88,2023-02-01,3665574000.0,737243000.0,0.46,1686164040.0
39189.0,RENISHAW,LON,46630.0,GB0007323586,2023-02-01,2818373000.0,72789000.0,0.47,1324635310.0
9164.0,FRASERS GROUP,LON,34449.0,GB00B1QH8P22,2023-02-01,3741020000.0,477475000.0,0.23,860434600.0
