Ticker,Name,"SEDOL
","ISIN
",FTSE100,FTSE250,Market Cap (Pre),Market Cap (Post),Post Date
ASC LN Equity,ASOS PLC,3092725,GB0030927254,,1.0,,870979136,2022-06-20
BGEO LN Equity,Bank of Georgia Group PLC,BF4HYT8,GB00BF4HYT85,,1.0,,738524800,2022-06-20
CLG LN Equity,GXO Logistics UK II Ltd,BMMV6B7,GB00BMMV6B79,,-1.0,874229248,,2022-06-20
CNA LN Equity,Centrica PLC,B033F22,GB00B033F229,1.0,-1.0,4912636928,4763841536,2022-06-20
IDS LN Equity,International Distributions Services PLC,BDVZYZ7,GB00BDVZYZ77,-1.0,1.0,2999578880,2687859968,2022-06-20
ITV LN Equity,ITV PLC,3398649,GB0033986497,-1.0,1.0,2847574528,2806515200,2022-06-20
JLEN LN Equity,JLEN Environmental Assets Group Ltd Foresight Group Holdings,BJL5FH8,GG00BJL5FH87,,1.0,,--,2022-06-20
MRCH LN Equity,Merchants Trust PLC/The,0580007,GB0005800072,,1.0,,--,2022-06-20
OXB LN Equity,Oxford Biomedica PLC,BDFBVT4,GB00BDFBVT43,,-1.0,463029568,,2022-06-20
PRTC LN Equity,PureTech Health PLC,BY2Z0H7,GB00BY2Z0H74,,-1.0,493290528,,2022-06-20
RNK LN Equity,Rank Group PLC,B1L5QH9,GB00B1L5QH97,,-1.0,474987552,,2022-06-20
SUPR LN Equity,Supermarket Income Reit PLC,BF345X1,GB00BF345X11,,1.0,,1599430272,2022-06-20
THRL LN Equity,Target Healthcare REIT PLC,BJGTLF5,GB00BJGTLF51,,1.0,,699627712,2022-06-20
TRST LN Equity,Trustpilot Group PLC,BNK9TP5,GB00BNK9TP58,,-1.0,426977920,,2022-06-20
USA LN Equity,Baillie Gifford US Growth Trust PLC,BDFGHW4,GB00BDFGHW41,,-1.0,--,,2022-06-20
UTG LN Equity,UNITE Group PLC/The,0692861,GB0006928617,1.0,-1.0,4312825344,4340879872,2022-06-20
ABDN LN Equity,abrdn plc,BF8Q6K6,GB00BF8Q6K64,-1.0,1.0,3273295360,3043325952,2022-09-20
AVST LN Equity,Avast Ltd,BDD85M8,GB00BDD85M81,-1.0,,7253987840,,2022-09-20
BSIF LN Equity,Bluefield Solar Income Fund Ltd,BB0RDB9,GG00BB0RDB98,,1.0,,--,2022-09-20
CHRY LN Equity,Chrysalis Investments Ltd,BGJYPP4,GG00BGJYPP46,,-1.0,490403936,,2022-09-20
CTEC LN Equity,ConvaTec Group PLC,BD3VFW7,GB00BD3VFW73,1.0,-1.0,4667474432,4430629888,2022-09-20
FCIT LN Equity,F&C Investment Trust PLC,0346607,GB0003466074,1.0,-1.0,--,--,2022-09-20
FRAS LN Equity,Frasers Group PLC,B1QH8P2,GB00B1QH8P22,1.0,-1.0,3939191552,3710002176,2022-09-20
GNC LN Equity,Greencore Group PLC,0386410,IE0003864109,,-1.0,451775232,,2022-09-20
HBR LN Equity,Harbour Energy PLC,BMBVGQ3,GB00BMBVGQ36,1.0,-1.0,3765270528,4109989632,2022-09-20
HIK LN Equity,Hikma Pharmaceuticals PLC,B0LCW08,GB00B0LCW083,-1.0,1.0,3004709120,2710624768,2022-09-20
HSV LN Equity,HomeServe PLC,BYYTFB6,GB00BYYTFB60,1.0,-1.0,3982826752,4003026944,2022-09-20
HWDN LN Equity,Howden Joinery Group PLC,0557681,GB0005576813,-1.0,1.0,3345207040,3099572736,2022-09-20
MGGT LN Equity,Meggitt PLC,0575809,GB0005758098,-1.0,,6195772416,,2022-09-20
NESF LN Equity,NextEnergy Solar Fund Ltd,BJ0JVY0,GG00BJ0JVY01,,1.0,,--,2022-09-20
PRTC LN Equity,PureTech Health PLC,BY2Z0H7,GB00BY2Z0H74,,1.0,,662592384,2022-09-20
TFIF LN Equity,TwentyFour Income Fund Ltd,B90J5Z9,GG00B90J5Z95,,1.0,,--,2022-09-20
TYMN LN Equity,Tyman PLC,B29H425,GB00B29H4253,,-1.0,441637536,,2022-09-20
VANQ LN Equity,Vanquis Banking Group PLC,B1Z4ST8,GB00B1Z4ST84,,-1.0,475674528,,2022-09-20
VID LN Equity,VIDENDUM PLC,0929666,GB0009296665,,1.0,,641998080,2022-09-20
WHR LN Equity,Warehouse Reit PLC,BD2NCM3,GB00BD2NCM38,,1.0,,605003520,2022-09-20
WPS LN Equity,WAG Payment Solutions PLC,BLGXWY7,GB00BLGXWY71,,1.0,,639998656,2022-09-20
XPP LN Equity,XP Power Ltd,B1RMWL0,SG9999003735,,-1.0,415417440,,2022-09-20
ABDN LN Equity,abrdn plc,BF8Q6K6,GB00BF8Q6K64,1.0,-1.0,4089824000.0,3776620032,2022-12-19
BAG LN Equity,AG Barr PLC,B6XZKY7,GB00B6XZKY75,,1.0,,579189248,2022-12-19
BEZ LN Equity,Beazley PLC,BYQ0JC6,GB00BYQ0JC66,1.0,-1.0,4389394432.0,4355865088,2022-12-19
DGI9 LN Equity,Digital 9 Infrastructure PLC/Fund,BMDKH43,JE00BMDKH437,,1.0,,--,2022-12-19
DPH LN Equity,Dechra Pharmaceuticals PLC,0963318,GB0009633180,-1.0,1.0,3114243072.0,2991315712,2022-12-19
ERM LN Equity,Delinian Ltd,0688666,GB0006886666,,-1.0,1593663488.0,,2022-12-19
ESCT LN Equity,European Smaller Companies/The,BMCF868,GB00BMCF8689,,1.0,,--,2022-12-19
GLO LN Equity,Contourglobal Ltd,BF448H5,GB00BF448H58,,-1.0,1645846528.0,,2022-12-19
HBR LN Equity,Harbour Energy PLC,BMBVGQ3,GB00BMBVGQ36,-1.0,1.0,2755344896.0,2605574656,2022-12-19
HOME LN Equity,Home Reit PLC,BJP5HK1,GB00BJP5HK17,,-1.0,611901568.0,,2022-12-19
ICP LN Equity,Intermediate Capital Group PLC,BYT1DJ1,GB00BYT1DJ19,-1.0,1.0,3361692160.0,3316656384,2022-12-19
ORIT LN Equity,Octopus Renewables Infrastructure Trust PLC/The Fund,BJM0293,GB00BJM02935,,1.0,,--,2022-12-19
PFC LN Equity,Petrofac Ltd,B0H2K53,GB00B0H2K534,,-1.0,552426880.0,,2022-12-19
WEIR LN Equity,Weir Group PLC/The,0946580,GB0009465807,1.0,-1.0,4669122560.0,4351097856,2022-12-19
888 LN Equity,888 Holdings PLC,B0L4LM9,GI000A0F6407,,-1.0,322251456.0,,2023-03-20
ITH LN Equity,Ithaca Energy PLC,BPJHV58,GB00BPJHV584,,1.0,,1474572928.0,2023-03-20
MOON LN Equity,Moonpig Group PLC,BMT9K01,GB00BMT9K014,,-1.0,374270112.0,,2023-03-20
SHB LN Equity,Shaftesbury PLC,0799096,GB0007990962,,-1.0,1608314880.0,,2023-03-20
STEM LN Equity,SThree PLC,B0KM9T7,GB00B0KM9T71,,1.0,,581560448.0,2023-03-20
VANQ LN Equity,Vanquis Banking Group PLC,B1Z4ST8,GB00B1Z4ST84,,1.0,,552402432.0,2023-03-20
ASC LN Equity,ASOS PLC,3092725,GB0030927254,,-1.0,454868544.0,,2023-06-19
BLND LN Equity,British Land Co PLC/The,0136701,GB0001367019,-1.0,1.0,3390335232.0,3124263168,2023-06-19
BRGE LN Equity,BlackRock Greater Europe Investment Trust PLC,B01RDH7,GB00B01RDH75,,1.0,,--,2023-06-19
CNE LN Equity,Capricorn Energy PLC,BQ98V03,GB00BQ98V038,,-1.0,288956800.0,,2023-06-19
CPI LN Equity,Capita PLC,B23K0M2,GB00B23K0M20,,1.0,,525538528,2023-06-19
ESP LN Equity,Empiric Student Property PLC,BLWDVR7,GB00BLWDVR75,,1.0,,539999936,2023-06-19
HTG LN Equity,Hunting PLC,0447889,GB0004478896,,-1.0,343900064.0,,2023-06-19
IMI LN Equity,IMI PLC,BGLP8L2,GB00BGLP8L22,1.0,-1.0,4240740608.0,4214703104,2023-06-19
MDC LN Equity,Mediclinic International PLC,B8HX8Z8,GB00B8HX8Z88,,-1.0,3689905152.0,,2023-06-19
MEGP LN Equity,ME GROUP INTERNATIONAL PLC,0848125,GB0008481250,,1.0,,608598720,2023-06-19
NAS LN Equity,North Atlantic Smaller Cos Investment Trust PLC,0643900,GB0006439003,,1.0,,--,2023-06-19
TLW LN Equity,Tullow Oil PLC,0150080,GB0001500809,,-1.0,361791968.0,,2023-06-19
TYMN LN Equity,Tyman PLC,B29H425,GB00B29H4253,,1.0,,523000384,2023-06-19
VID LN Equity,VIDENDUM PLC,0929666,GB0009296665,,-1.0,330834592.0,,2023-06-19
