Name,ISIN,FTSE100,FTSE250,Post date
Easyjet,,1,-1,18/3/2013
Intu Properties,GB0006834344,-1,1,18/3/2013
London Stock Exchange Group,,1,-1,18/3/2013
Kazakhmys,,-1,1,18/3/2013
Thomas Cook Group,,,1,18/3/2013
JD Sports Fashion,,,-1,18/3/2013
888 Holdings,,,1,18/3/2013
British Assets Trust,,,-1,18/3/2013
NMC Health,,,1,18/3/2013
Raven Russia,,,-1,18/3/2013
Keller,,,1,18/3/2013
Stobart Group,,,-1,18/3/2013
Persimmon,,1,-1,24/6/2013
Evraz,,-1,1,24/6/2013
Travis Perkins,,1,-1,24/6/2013
Polymetal,,-1,1,24/6/2013
DCC,,,1,24/6/2013
Heritage Oil,,,-1,24/6/2013
Esure Group,,,1,24/6/2013
SDL,,,-1,24/6/2013
Countrywide,,,1,24/6/2013
New World Resources,,,-1,24/6/2013
Crest Nicholson Holdings,,,1,24/6/2013
Petropavlovsk,,,-1,24/6/2013
Xaar,,,1,24/6/2013
Dexion Absolute Ld (Ord sterling),,,-1,24/6/2013
Coca-Cola HBC AG ,,1,,23/9/2013
Wood Group (John),,-1,1,23/9/2013
Sports Direct International ,,1,-1,23/9/2013
Eurasian Natural Resources Corporation,,-1,1,23/9/2013
Mondi,,1,-1,23/9/2013
Serco Group,,-1,1,23/9/2013
Utilico Emerging Mkts,,,-1,23/9/2013
Partnership Assurance Group ,,,1,23/9/2013
Bumi,,,-1,23/9/2013
Al Noor Hospitals Group,,,1,23/9/2013
Anite,,,-1,23/9/2013
Entertainment One,,,1,23/9/2013
JPMorgan Indian Inv Trust,,,-1,23/9/2013
Greencore Group,,,1,23/9/2013
Salamander Energy,,,-1,23/9/2013
Royal Mail,,1,,23/12/2013
Croda International,,-1,1,23/12/2013
Ashtead Group,,1,-1,23/12/2013
Vedanta Resources,,-1,1,23/12/2013
Merlin Entertainments,,,1,23/12/2013
Menzies (John),,,-1,23/12/2013
Greggs,,,-1,23/12/2013
Carphone Warehouse Group,,,1,23/12/2013
Hochschild Mining,,,-1,23/12/2013
Grafton Group,,,1,23/12/2013
Schroder Asia Pacific Fund,,,-1,23/12/2013
Foxtons Group,,,1,23/12/2013
Chemring Group,,,-1,23/12/2013
Riverstone Energy,,,1,23/12/2013
Carpetright,,,-1,23/12/2013
JD Sports Fashion,,,1,23/12/2013
Dialight,,,-1,23/12/2013
Barratt Developments ,,1,-1,24/3/2014
Amec,,-1,1,24/3/2014
St. James’s Place,,1,-1,24/3/2014
Tate & Lyle,,-1,1,24/3/2014
Just Retirement Group,,,1,24/3/2014
Edinburgh Dragon Trust,,,-1,24/3/2014
Infinis Energy,,,1,24/3/2014
Devro,,,-1,24/3/2014
Heritage Oil,,,1,24/3/2014
Kenmare Resources,,,-1,24/3/2014
3i Group,,1,-1,23/6/2014
Melrose Industries,,-1,1,23/6/2014
Intu Properties,,1,-1,23/6/2014
William Hill,,-1,1,23/6/2014
Just Eat,,,1,23/6/2014
Murray Income Trust (Ord),,,-1,23/6/2014
AO World,,,1,23/6/2014
Herald Investment Trust,,,-1,23/6/2014
Pets At Home Group,,,1,23/6/2014
Merchants Trust,,,-1,23/6/2014
Kennedy Wilson Europe Real Estate,,,1,23/6/2014
Partnership Assurance Group,,,-1,23/6/2014
BRIT,,,1,23/6/2014
KCOM Group,,,-1,23/6/2014
Poundland Group,,,1,23/6/2014
888 Holdings,,,-1,23/6/2014
Direct Line Insurance Group,,1,-1,22/9/2014
Barratt Developments,,-1,1,22/9/2014
Dixons Carphone,,1,-1,22/9/2014
Rexam,,-1,1,22/9/2014
Saga,,,1,22/9/2014
Circassia Pharmaceuticals,,,-1,22/9/2014
Nostrum Oil & Gas,,,1,22/9/2014
Imagination Technologies Group,,,-1,22/9/2014
TSB Banking Group,,,1,22/9/2014
Dairy Crest Group,,,-1,22/9/2014
SSP Group,,,1,22/9/2014
BH Global (GBp),,,-1,22/9/2014
Zoopla Property Group ,,,1,22/9/2014
ITE Group,,,-1,22/9/2014
Spire Healthcare Group,,,1,22/9/2014
Exova Group,,,-1,22/9/2014
Card Factory,,,1,22/9/2014
Xaar,,,-1,22/9/2014
