Name,ISIN,FTSE100,FTSE250,post_date,pre_twenty_pd,pre_five_pd,pre_three_pd,pre_one_pd,post_three_pd,post_five_pd,post_ten_pd,post_twenty_pd,diff_twenty_three,diff_twenty_five,diff_twenty_ten,diff_twenty_twenty,diff_five_three,diff_five_five,diff_five_ten,diff_five_twenty,diff_three_three,diff_three_five,diff_three_ten,diff_three_twenty,diff_one_three,diff_one_five,diff_one_ten,diff_one_twenty
888 Holdings,GI000A0F6407,,1.0,2023-09-18,1.1599998999999999,1.2729998,1.2410001,1.2469997,1.1789998,1.1059999999999999,0.9875,1.6190004,0.01899990000000007,-0.05399989999999999,-0.17249989999999982,0.45900050000000014,-0.09400000000000008,-0.16699980000000014,-0.28549979999999997,0.3460006,-0.06200030000000001,-0.13500010000000007,-0.2535000999999999,0.37800030000000007,-0.0679999,-0.14099970000000006,-0.2594996999999999,0.3720007000000001
Abrdn,GB00BF8Q6K64,-1.0,1.0,2023-09-18,1.6190004,1.5725002000000001,1.5869999000000001,1.6359997000000002,1.5555001,1.5399999,1.5480004,3.6149975999999997,-0.06350030000000007,-0.07900050000000003,-0.07099999999999995,1.9959971999999997,-0.017000100000000185,-0.03250030000000015,-0.02449980000000007,2.0424973999999994,-0.03149980000000019,-0.04700000000000015,-0.038999500000000076,2.0279976999999993,-0.08049960000000023,-0.09599980000000019,-0.08799930000000011,1.9789978999999995
Breedon Group,GB00BM8NFJ84,,1.0,2023-09-18,3.6149975999999997,3.4899975999999997,3.5399976,3.46,3.465,3.385,3.31,2.42,-0.14999759999999984,-0.2299975999999999,-0.30499759999999965,-1.1949975999999998,-0.024997599999999842,-0.10499759999999991,-0.17999759999999965,-1.0699975999999998,-0.07499760000000011,-0.15499760000000018,-0.2299975999999999,-1.1199976,0.004999999999999893,-0.07500000000000018,-0.1499999999999999,-1.04
CAB Payments Holdings,GB00BMCYKB41,,1.0,2023-09-18,2.42,2.6149975999999997,2.7749976,2.5500002,2.4700002,2.4750004000000003,2.2799997,0.18809998,0.05000019999999994,0.05500040000000039,-0.14000030000000008,-2.23190002,-0.14499739999999983,-0.13999719999999938,-0.33499789999999985,-2.4268976199999996,-0.3049974,-0.2999971999999995,-0.4949979,-2.58689762,-0.08000000000000007,-0.07499979999999962,-0.2700005000000001,-2.36190022
Capita,GB00B23K0M20,,-1.0,2023-09-18,0.18809998,0.16589997,0.16929993,0.1712999,0.17409989,0.17439988,0.16739991,3.1459986,-0.014000089999999993,-0.013700099999999993,-0.020700069999999987,2.95789862,0.00819992,0.00849991,0.0014999400000000052,2.98009863,0.00479996000000002,0.00509995000000002,-0.0019000199999999745,2.97669867,0.002799990000000002,0.003099980000000002,-0.003899989999999992,2.9746987
Ceres Power Holdings,GB00BG5KQW09,,1.0,2023-09-18,3.1459986,3.4159986,3.6,3.6,3.4779980999999998,3.17,3.1,1.2799997,0.3319994999999998,0.02400139999999995,-0.04599859999999989,-1.8659989,0.06199949999999976,-0.24599860000000007,-0.3159985999999999,-2.1359988999999997,-0.12200190000000033,-0.43000000000000016,-0.5,-2.3200003000000002,-0.12200190000000033,-0.43000000000000016,-0.5,-2.3200003000000002
CMC Markets,GB00B14SKR37,,-1.0,2023-09-18,1.2799997,1.0299997,1.014,1.0500002000000002,1.0780001,1.0900002,1.026,37.979996,-0.20199960000000017,-0.1899995000000001,-0.25399970000000005,36.6999963,0.04800039999999983,0.0600004999999999,-0.0039997000000000504,36.9499963,0.0640000999999999,0.07600019999999996,0.01200000000000001,36.965996,0.027999899999999744,0.039999999999999813,-0.024000200000000138,36.9299958
Dechra Pharmacuticals,GB0009633180,1.0,-1.0,2023-09-18,37.979996,38.059998,38.119996,38.119996,38.0,37.960005,37.839996,31.259992999999998,0.020004000000000133,-0.019990999999997427,-0.14000000000000057,-6.720003000000002,-0.05999800000000022,-0.09999299999999778,-0.22000200000000092,-6.800005000000002,-0.11999600000000044,-0.159990999999998,-0.28000000000000114,-6.8600030000000025,-0.11999600000000044,-0.159990999999998,-0.28000000000000114,-6.8600030000000025
Diploma,GB0001826634,1.0,-1.0,2023-09-18,31.259992999999998,31.160003000000003,31.059998,31.259992999999998,30.839996,30.139998000000002,29.100005,4.6499976,-0.4199969999999986,-1.1199949999999959,-2.1599879999999985,-26.6099954,-0.3200070000000039,-1.0200050000000012,-2.0599980000000038,-26.510005400000004,-0.22000200000000092,-0.9199999999999982,-1.9599930000000008,-26.4100004,-0.4199969999999986,-1.1199949999999959,-2.1599879999999985,-26.6099954
Foresight Group Holdings,GG00BMD8MJ76,,1.0,2023-09-18,4.6499976,4.6899976,4.67,4.3999976,4.6199976,4.7899975999999995,4.14,20.880005,-0.03000000000000025,0.13999999999999968,-0.5099976000000002,16.2300074,-0.07000000000000028,0.09999999999999964,-0.5499976000000002,16.1900074,-0.050002400000000335,0.1199975999999996,-0.5300000000000002,16.210005000000002,0.21999999999999975,0.3899999999999997,-0.25999760000000016,16.4800074
Hikma Pharmaceuticals,GB00B0LCW083,1.0,-1.0,2023-09-18,20.880005,20.729996,20.83,20.630005,21.100005,20.979996,20.619996,9.85,0.21999999999999886,0.09999099999999927,-0.26000900000000016,-11.030005000000001,0.3700089999999996,0.25,-0.10999999999999943,-10.879996,0.27000500000000116,0.14999600000000157,-0.21000399999999786,-10.979999999999999,0.46999999999999886,0.3499909999999993,-0.010009000000000157,-10.780005000000001
Hiscox,BMG4593F1389,-1.0,1.0,2023-09-18,9.85,10.149998,10.329998,10.479998,10.439998000000001,10.34,9.77,15.994998,0.5899980000000014,0.4900000000000002,-0.08000000000000007,6.144998000000001,0.2900000000000009,0.19000199999999978,-0.3799980000000005,5.845000000000001,0.11000000000000121,0.010002000000000066,-0.5599980000000002,5.665000000000001,-0.03999999999999915,-0.1399980000000003,-0.7099980000000006,5.515000000000001
Johnson Matthew,GB00BZ4BQC70,-1.0,1.0,2023-09-18,15.994998,17.479996,17.035003,17.404998,16.904998,16.464996,15.89,2.21,0.9099999999999984,0.4699979999999986,-0.10499800000000015,-13.784998000000002,-0.5749980000000008,-1.0150000000000006,-1.5899959999999993,-15.269995999999999,-0.1300050000000006,-0.5700070000000004,-1.145002999999999,-14.825002999999999,-0.5,-0.9400019999999998,-1.5149979999999985,-15.194997999999998
